,dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
63746,1867-07-01,11.587000000000002,1.682,British Columbia,Canada
63747,1867-08-01,10.444,3.443,British Columbia,Canada
63748,1867-09-01,6.226,2.237,British Columbia,Canada
63749,1867-10-01,-0.4540000000000002,1.77,British Columbia,Canada
63750,1867-11-01,-5.4270000000000005,2.1830000000000003,British Columbia,Canada
63751,1867-12-01,-12.470999999999998,2.365,British Columbia,Canada
63752,1868-01-01,-17.145,2.59,British Columbia,Canada
63753,1868-02-01,-10.038,2.363,British Columbia,Canada
63754,1868-03-01,-4.728,2.157,British Columbia,Canada
63755,1868-04-01,1.829,1.901,British Columbia,Canada
63756,1868-05-01,6.9689999999999985,2.718,British Columbia,Canada
63757,1868-06-01,11.465,1.695,British Columbia,Canada
